央视频道,#genre#
CCTV-1,http://ott.mobaibox.com/PLTV/3/224/3221225530/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227375/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227387/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227462/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227467/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227634/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227641/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227644/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227675/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227725/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227736/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228049/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228120/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228146/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228149/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228213/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228287/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228576/index.m3u8
CCTV-2,http://ott.mobaibox.com/PLTV/3/224/3221226993/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227543/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227696/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227708/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228094/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228118/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228300/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228616/index.m3u8
CCTV-3,http://ott.mobaibox.com/PLTV/3/224/3221225588/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227295/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227424/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227546/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227623/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227650/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228126/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228188/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228237/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228392/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228582/index.m3u8
CCTV-4,http://ott.mobaibox.com/PLTV/3/224/3221225534/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227378/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227489/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227549/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227658/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227683/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228091/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228156/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228307/index.m3u8
CCTV-5,http://ott.mobaibox.com/PLTV/3/224/3221227166/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227298/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227401/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227537/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227617/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227640/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227661/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227686/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228082/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228173/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228179/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228234/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228395/index.m3u8
CCTV-5+,http://ott.mobaibox.com/PLTV/3/224/3221225604/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227381/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227480/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227502/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227631/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227685/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227714/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228076/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228114/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228176/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228277/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228492/index.m3u8

CCTV-6,http://ott.mobaibox.com/PLTV/3/224/3221227209/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227301/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227427/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227430/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227505/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227581/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227664/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228123/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228185/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228196/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228280/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228516/index.m3u8
CCTV-7,http://ott.mobaibox.com/PLTV/3/224/3221225546/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227314/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227626/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227639/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227642/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228640/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228643/index.m3u8
CCTV-8,http://ott.mobaibox.com/PLTV/3/224/3221227205/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227304/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227433/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227473/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227629/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227667/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227750/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228079/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228084/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228194/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228398/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228578/index.m3u8
